Game ID,Player,Leader,Starting Position,Score,Ending Position
837,@devzzzy ,Ilban,4,22.3,2
837,@Narballs ,Leto,2,3.4,3
837,@IFreeMan ,Tessia,3,-56.9,4
836,@Lonk ,Rhombur,1,39.0,1
836,@rybachello ,Helena,4,30.3,2
836,@agingprince. ,Hundro,3,-2.5,3
836,@fweak ,Baron,2,-66.8,4
834,@Zelbot ,Ilban,4,40.1,1
834,@darkdinner ,Tessia,1,10.9,2
834,@Kaileng ,Hundro,2,-3.4,3
834,@Vigo ,Rhombur,3,-47.5,4
833,@CrazyApple ,Ariana,4,20.4,1
833,@IFreeMan ,Ilban,2,10.3,2
833,@mooshow ,Yuna,3,-10.7,3
833,@emocat ,Helena,1,-20.0,4
832,@Vigo ,Ilesa,1,58.5,1
832,@Kaileng ,Beast,3,33.5,2
832,@darkdinner ,Tessia,2,-25.3,3
832,@Zelbot ,Ilban,4,-66.7,4
831,@CrazyApple ,Leto,1,27.4,1
831,@mooshow ,Beast,4,32.5,2
831,@IFreeMan ,Tessia,3,-20.2,3
831,@davidli642 ,Hundro,2,-39.7,4
830,@CrazyApple ,Memnon,1,32.0,1
830,@IFreeMan ,Beast,4,14.1,2
830,@davidli642 ,Hundro,3,-9.3,3
830,@louis🏍🏍🏍 ,Leto,2,-36.9,4
829,@mooshow ,Ariana,3,52.4,1
829,@davidli642 ,Yuna,1,1.2,2
829,@kwisatz99 ,Ilban,4,-22.0,3
829,@7thHouse ,Rhombur,2,-31.5,4
828,@justinbyun ,Beast,2,32.5,1
828,@Yung Savage ,Ilesa,3,27.3,2
828,@Renatus ,Hundro,1,9.1,3
828,@zafy ,Ilban,4,-69.0,4
827,@davidli642 ,Hundro,4,31.7,1
827,@Cabbage Cat ,Helena,2,14.5,2
827,@eliottjacques5 ,Ariana,1,-27.4,3
827,@javea1 ,Tessia,3,-18.8,4
826,@kwisatz99 ,Beast,4,56.0,1
826,@krompl ,Ilesa,3,-2.1,2
826,@Renatus ,Leto,2,4.0,3
826,@Mysterium ,Rhombur,1,-58.0,4
825,@krompl ,Ilesa,3,51.4,1
825,@zafy ,Hundro,2,-2.2,2
825,@Thuney ,Paul,1,-7.2,3
825,@contiuspilate ,Ecaz,4,-42.1,4
824,@lilgreenghouls ,Ariana,3,45.3,1
824,@Franz ,Yuna,2,15.5,2
824,@asat0r ,Memnon,1,4.5,3
824,@Vigo ,Helena,4,-65.3,4
823,@Barry Bandit ,Hundro,1,51.5,1
823,@darkdinner ,Ariana,3,1.9,2
823,@Thuney ,Baron,4,-37.7,3
823,@pan Jan ,Leto,2,-15.7,4
822,@justinbyun ,Beast,4,30.7,1
822,@Zelbot ,Helena,1,5.6,2
822,@Lio ,Baron,2,19.0,3
822,@Vasya ,Ariana,3,-55.4,4
821,@vonbotis ,Baron,1,43.6,1
821,@djgod79 ,Beast,2,38.5,2
821,@Lonk ,Ecaz,3,-22.2,3
821,@lilgreenghouls ,Ariana,4,-59.9,4
820,@contiuspilate ,Ecaz,3,56.9,1
820,@Ajokli ,Ilban,4,24.8,2
820,@darkdinner ,Hundro,2,-14.6,3
820,@Ideel ,Paul,1,-67.1,4
819,@rybas_h3 ,Beast,2,27.2,1
819,@Cabbage Cat ,Baron,3,29.2,2
819,@Vigo ,Tessia,4,-15.0,3
819,@Yooliss ,Yuna,1,-41.5,4
818,@krompl ,Ariana,4,23.2,1
818,@Franz ,Baron,2,21.7,2
818,@Rosco ,Paul,1,-17.0,3
818,@vin1987123 ,Tessia,3,-27.9,4
817,@Thuney ,Hundro,1,50.2,1
817,@justinbyun ,Beast,3,1.2,2
817,@In Flames ,Rhombur,2,-0.8,3
817,@crashtest776 ,Ecaz,4,-50.5,4
816,@darkdinner ,Paul,1,60.0,1
816,@Ideel ,Hundro,2,-3.5,2
816,@contiuspilate ,Ecaz,3,-8.5,3
816,@VIVAFRESHAS ,Baron,4,-48.0,4
815,@Zelbot ,Beast,2,32.1,1
815,@Rosco ,Rhombur,1,28.9,2
815,@krompl ,Hundro,3,-37.3,3
815,@vin1987123 ,Ecaz,4,-23.8,4
814,@Lonk ,Ecaz,1,54.1,1
814,@lilgreenghouls ,Ariana,4,8.6,2
814,@darkdinner ,Beast,3,-35.3,3
814,@archonaut. ,Hundro,2,-27.4,4
813,@Pooky ,Yuna,1,46.1,1
813,@darkdinner ,Ariana,2,2.4,2
813,@Interesting VG ,Paul,4,-8.2,3
813,@johny ,Ecaz,3,-40.2,4
812,@louis🏍🏍🏍 ,Ilban,4,43.9,1
812,@MortimerSmith ,Paul,1,34.0,2
812,@justinbyun ,Ariana,3,-44.5,3
812,@Franz ,Ecaz,2,-33.4,4
811,@In Flames ,Tessia,1,54.4,1
811,@rybas_h3 ,Hundro,2,-14.6,2
811,@MortimerSmith ,Helena,3,-6.2,3
811,@busyazaya ,Ilban,4,-33.7,4
810,@zafy ,Leto,1,13.5,1
810,@dotdotdot ,Tessia,4,20.7,2
810,@rybachello ,Baron,2,10.8,3
810,@Lonk ,Yuna,3,-45.0,4
809,@vintaya ,Yuna,1,46.5,1
809,@0TH0N ,Rhombur,2,18.0,2
809,@BenitoMax ,Ecaz,3,-8.6,3
809,@Franz ,Leto,4,-55.9,4
808,@someproudly ,Rhombur,2,20.3,1
808,@vin1987123 ,Hundro,1,34.0,2
808,@franc ,Baron,4,-15.0,3
808,@archonaut. ,Beast,3,-39.3,4
807,@IFreeMan ,Tessia,4,18.9,1
807,@Vigo ,Hundro,2,2.8,2
807,@asat0r ,Helena,3,7.4,3
807,@rybachello ,Baron,1,-29.1,4
806,@someproudly ,Beast,3,50.5,1
806,@zafy ,Ecaz,1,-12.3,2
806,@Narballs ,Tessia,2,-9.5,3
806,@franc ,Helena,4,-28.7,4
805,@Benten ,Baron,1,28.1,1
805,@Vigo ,Ecaz,4,8.8,2
805,@ADIBOU ,Ilban,3,-16.9,3
805,@The Immortal ,Paul,2,-20.0,4
804,@IFreeMan ,Hundro,3,37.4,1
804,@rybas_h3 ,Ilesa,2,-6.6,2
804,@tomski8857 ,Beast,4,-0.7,3
804,@BenitoMax ,Yuna,1,-30.0,4
803,@Vigo ,Hundro,4,54.6,1
803,@louis🏍🏍🏍 ,Yuna,1,11.0,2
803,@Benten ,Memnon,2,-38.0,3
803,@waata ,Beast,3,-27.6,4
802,@rybas_h3 ,Ilesa,1,22.8,1
802,@Freeman ,Hundro,2,28.3,2
802,@BenitoMax ,Leto,4,-4.5,3
802,@tomski8857 ,Paul,3,-46.6,4
801,@CrazyApple ,Yuna,3,25.9,1
801,@mooshow ,Ariana,4,33.5,2
801,@Benten ,Baron,2,-30.8,3
801,@Motherfucking Sitarboy ,Ilban,1,-28.6,4
800,@BenitoMax ,Leto,4,67.1,1
800,@IFreeMan ,Baron,2,0.2,2
800,@rybas_h3 ,Memnon,3,-45.2,3
800,@The Immortal ,Ecaz,1,-22.1,4
799,@darkdinner ,Ilban,1,38.1,1
799,@Ponz47 ,Ariana,3,34.6,2
799,@busyazaya ,Baron,4,-5.2,3
799,@Red Bull Baron ,Yuna,2,-67.5,4
798,@Wanpo ,Leto,2,70.1,1
798,@CrazyApple ,Ilesa,1,-3.6,2
798,@mooshow ,Yuna,3,3.7,3
798,@Benten ,Baron,4,-70.3,4
797,@Narballs ,Leto,3,58.7,1
797,@Cabbage Cat ,Ilban,1,29.8,2
797,@krompl ,Ecaz,2,-40.4,3
797,@Vigo ,Helena,4,-48.2,4
796,@Red Bull Baron ,Yuna,1,45.2,1
796,@zafy ,Leto,4,-17.5,2
796,@BenitoMax ,Ariana,3,6.7,3
796,@lannister2005 ,Paul,2,-34.3,4
795,@IFreeMan ,Tessia,4,29.5,1
795,@Thuney ,Ilban,3,-0.9,2
795,@Katatonic ,Rhombur,1,-2.6,3
795,@friachi ,Leto,2,-26.0,4
794,@zafy ,Hundro,3,23.3,1
794,@Motherfucking Sitarboy ,Yuna,2,40.5,2
794,@Red Bull Baron ,Ariana,4,-10.9,3
794,@contiuspilate ,Ecaz,1,-52.8,4
793,@Thuney ,Tessia,2,49.3,1
793,@IFreeMan ,Yuna,1,7.9,2
793,@Yooliss ,Baron,4,-14.5,3
793,@MMB ,Leto,3,-42.8,4
792,@justinbyun ,Beast,2,21.4,1
792,@devzzzy ,Leto,4,6.1,2
792,@nobody09 ,Baron,1,-4.1,3
792,@Sweetsale90 ,Hundro,3,-23.4,4
791,@Zelbot ,Hundro,2,35.0,1
791,@vintaya ,Ecaz,4,23.7,2
791,@cybervova ,Memnon,1,-34.3,3
791,@Lio ,Ariana,3,-24.3,4
790,@Ajokli ,Tessia,1,48.2,1
790,@VIVAFRESHAS ,Ecaz,4,-1.2,2
790,@franc ,Yuna,2,-6.5,3
790,@Rosco ,Helena,3,-40.5,4
789,@MMB ,Leto,1,62.4,1
789,@Yooliss ,Yuna,2,19.4,2
789,@Franz ,Ilban,3,-13.3,3
789,@IFreeMan ,Tessia,4,-68.5,4
788,@lilgreenghouls ,Ariana,2,41.9,1
788,@Lonk ,Paul,1,10.1,2
788,@In Flames ,Hundro,4,-25.7,3
788,@lux ,Helena,3,-26.3,4
787,@justinbyun ,Yuna,1,29.8,1
787,@Zelbot ,Baron,2,18.3,2
787,@MortimerSmith ,Ariana,4,6.8,3
787,@Taff_Live ,Rhombur,3,-54.9,4
786,@vintaya ,Baron,3,62.8,1
786,@ijuijui ,Hundro,1,3.8,2
786,@Yung Savage ,Ilban,4,-34.3,3
786,@Lio ,Ariana,2,-32.3,4
785,@lilgreenghouls ,Ariana,4,44.8,1
785,@rasnar. ,Beast,2,24.5,2
785,@Lonk ,Ilesa,1,-32.4,3
785,@lux ,Ilban,3,-36.9,4
784,@rybas_h3 ,Helena,4,13.3,1
784,@vintaya ,Ariana,1,34.0,2
784,@Katatonic ,Leto,3,-7.0,3
784,@archonaut. ,Beast,2,-40.3,4
783,@krompl ,Ariana,1,41.2,1
783,@justinbyun ,Beast,3,4.0,2
783,@Franz ,Ilban,2,-1.7,3
783,@Vigo ,Tessia,4,-43.5,4
782,@Rosco ,Ariana,4,61.3,1
782,@Benten ,Beast,3,-21.6,2
782,@Lio ,Rhombur,2,1.9,3
782,@Messire Delamotte ,Baron,1,-41.7,4
781,@Vigo ,Tessia,3,44.1,1
781,@IFreeMan ,Baron,1,-8.5,2
781,@Lonk ,Rhombur,2,-15.7,3
781,@asat0r ,Beast,4,-19.9,4
780,@Thuney ,Yuna,2,40.5,1
780,@icemask22 ,Ecaz,1,20.7,2
780,@Zelbot ,Hundro,3,-38.7,3
780,@Martell ,Tessia,4,-22.5,4
779,@IFreeMan ,Ilban,3,22.0,1
779,@emocat ,Helena,1,23.2,2
779,@Thuney ,Beast,4,-22.9,3
779,@Martell ,Leto,2,-22.4,4
778,@Vigo ,Tessia,3,66.7,1
778,@zafy ,Ariana,1,-10.4,2
778,@Narballs ,Ilesa,2,2.4,3
778,@Zelbot ,Hundro,4,-58.7,4
777,@Benten ,Baron,4,20.6,1
777,@BenitoMax ,Yuna,1,49.1,2
777,@Mysterium ,Tessia,2,-29.3,3
777,@In Flames ,Helena,3,-40.4,4
776,@zafy ,Leto,3,18.8,1
776,@nobody09 ,Rhombur,2,35.5,2
776,@Matias ,Yuna,1,-1.2,3
776,@Franz ,Baron,4,-53.1,4
775,@Franz ,Rhombur,1,39.4,1
775,@IFreeMan ,Tessia,4,-10.2,2
775,@Unleazer ,Helena,2,13.8,3
775,@Katatonic ,Baron,3,-43.0,4
774,@Benten ,Baron,1,11.5,1
774,@asat0r ,Yuna,2,41.0,2
774,@agingprince. ,Ilban,3,4.2,3
774,@Vigo ,Ilesa,4,-56.8,4
773,@IFreeMan ,Tessia,3,41.9,1
