Game ID,Player,Leader,Starting Position,Score,Ending Position
1086,@contiuspilate ,Ilesa,2,4.4,2
1086,@Yooliss ,Yuna,1,-8.0,3
1086,@0TH0N ,Rhombur,3,-22.2,4
1085,@Lonk ,Paul,2,32.6,1
1085,@Ugotfranked ,Beast,3,19.2,2
1085,@lilgreenghouls ,Ilban,1,-31.9,3
1085,@leonpie ,Baron,4,-19.8,4
1084,@vaggelakos13 ,Ariana,1,40.0,1
1084,@contiuspilate ,Ilban,3,9.6,2
1084,@epsi2lon#0001 ,Leto,2,-15.2,3
1084,@In Flames ,Helena,4,-34.5,4
1083,@davidli642 ,Baron,4,49.4,1
1083,@franc ,Ariana,3,22.9,2
1083,@Ideel ,Hundro,2,-28.8,3
1083,@ADIBOU ,Ilban,1,-43.5,4
1082,@lannister2005 ,Hundro,1,67.4,1
1082,@Lonk ,Yuna,2,17.3,2
1082,@lilgreenghouls ,Ilban,4,-22.2,3
1082,@dinosmaroulis ,Beast,3,-62.5,4
1081,@vaggelakos13 ,Ilesa,2,34.1,1
1081,@nobody09 ,Ecaz,1,13.3,2
1081,@M1X ,Baron,4,-11.9,3
1081,@Renatus ,Beast,3,-35.5,4
1080,@contiuspilate ,Baron,2,42.6,1
1080,@Max ,Paul,1,28.5,2
1080,@Yung Savage ,Ariana,3,-45.9,3
1080,@Priceless 🥷 ,Yuna,4,-25.2,4
1079,@someproudly ,Ariana,2,47.1,1
1079,@Rosco ,Ilban,4,14.1,2
1079,@crashtest776 ,Baron,1,-32.8,3
1079,@Nerhatal ,Helena,3,-28.4,4
1078,@Ideel ,Beast,3,22.4,1
1078,@bonda ,Ariana,1,39.9,2
1078,@Franz ,Baron,2,-32.2,3
1078,@djgod79 ,Ecaz,4,-30.1,4
1077,@Yung Savage ,Ilban,4,19.7,1
1077,@Max ,Tessia,1,31.8,2
1077,@contiuspilate ,Yuna,2,-26.9,3
1077,@Sweetsale90 ,Leto,3,-24.6,4
1076,@M1X ,Paul,4,58.1,1
1076,@dinosmaroulis ,Leto,1,-9.0,2
1076,@lannister2005 ,Rhombur,2,-8.2,3
1076,@Clover.C ,Yuna,3,-40.9,4
1075,@Yung Savage ,Rhombur,1,23.3,1
1075,@Sweetsale90 ,Helena,2,45.5,2
1075,@contiuspilate ,Baron,3,-31.1,3
1075,@Max ,Ecaz,4,-37.6,4
1073,@Priceless 🥷 ,Yuna,2,71.8,1
1073,@someproudly ,Baron,1,-4.4,2
